category,code,name,ects,compulsory,source,offering,semesters_offered,language,professor,exam_type,contact_hours,studip_link,skills
economics,wir821,"International Trade, Production and Change",6,,studip,SoSe,SoSe22;SoSe23;SoSe24;SoSe26,English,Hans-Michael Trautwein,During the semester,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/74b105b29705e9b4b2c79831e769c031,"After successful completion of this module, students Describe and interpret empirical facts about international trade Understand motives for international trade Set up and solve canonical models of international trade Analyze data on international trade Evaluate the welfare effects of changes in trade costs and trade policies Synthesize and communicate insights from the academic literature on international trade"
economics,wir823,International Finance and Exchange Rate Economics,6,,studip,WiSe,WiSe21/22;WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,English,Peter Eppinger,During the semester,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/48a9af26736c26b8bd4abe5a5dd6b2cc,"After successful completion of this module, students · Know empirical facts about multinational firms and foreign direct investment · Understand different motives for multinational firm activity · Understand the trade-offs involved in firms’ integration vs. outsourcing decision · Are able to set up and solve models of multinational firms · Are able to obtain and analyze data on multinational firm activity · Know the current state of empirical evidence on various aspects of multinational firm activity"
economics,wir873,Applied Economics,6,yes,studip,WiSe,WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,"German, English",Jürgen Bitzer,vary according to type of examination,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/e46a6120bbe544eb76aa5874b1a6fc86,"The students are able to: - develop an empirical research project, - collect the required data, - carry out an econometric analysis, - interpret, discuss and present the results."
economics,wir874,Advanced Microeconomics,6,yes,studip,WiSe,WiSe21/22;WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,English,Carsten Helm,exam,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/5f290e3c3640ce8e0556e5444cbe2eec,"Students • understand the importance of incentive systems for economic processes and can analyze the effects of incentive systems; • have a firm knowledge in game theory and contract theory, and can address questions in the context of scientific discussion; • are able to apply methods from game theory and contract theory largely independently to the analysis of situations in which agents interact strategically; • are able to design incentive schemes – on their own and in teams – and to acquire knowledge on their own for this purpose and, to present their results, and to defend them in the scientific discourse."
economics,wir876,Topics in Economic Research,6,,studip,,WiSe21/22;SoSe22;SoSe23;SoSe24;WiSe24/25;SoSe25;WiSe25/26;SoSe26,Varies by module chosen,Christoph Boehringer,will be announced in the first session,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/ca906066e82b99c097299c2b9b48c8d3,"Students have the opportunity to take an economics module of their choice (worth 6 CP) at the master's level. This can also take place at another university or during studies abroad. Students are required to: independently engage with a topic using scientific methods, indepedently research and make use of current academic literature, integrate their topic into an academic discussion."
economics,wir878,Public Economics and Market Design,6,,studip,SoSe,SoSe24;SoSe26,"German, English",Carsten Helm,end of semester,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/c922661d4ea2550c54fbfa58d03cf26c,The students are able to understand sources of market failures and government failures understand taxing and spending activities of governments understand the distinction between normative and positive perspectives in the evaluation of government policy to apply economic methods to current issues in public economics present their research result in the form of written papers and oral presentations
economics,wir901,Environmental Economics,6,,studip,WiSe,WiSe21/22;WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,English,Carsten Helm,Written exam; bonus through solution of exercises,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/97e2bf65a96011f6ce0d30683bb332c5,Know and be able to apply fundamental concepts and figures of thought in environmental economics; be able to analyse and evaluate environmental problems and solution approaches; practice scientific methods and the ability to discuss; be able to classify environmental economics in the context of interdisciplinary sustainability research.
economics,wir889,Applied Environmental Economics,6,,studip,SoSe,SoSe22;SoSe23;SoSe24;SoSe25;SoSe26,English,Cristian Huse,Portfolio with up to three components.,,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/35dc82790ba77bd7d6e3becb22483948,"Students will develop the ability to: conceptually analyze environmental problems using the principles of microeconomic theory; collect, organize, and manage data from diverse sources for econometric analysis; formulate theoretical models to describe environmental issues and derive key measures, such as attribute valuations; select appropriate econometric methods for quantitative estimation; conduct empirical analyses of environmental problems and critically interpret and assess the results."
economics,wir890,Climate Economics,6,,studip,WiSe,WiSe21/22;WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,English,Christoph Boehringer,Written exam (max. 120min),56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/5b17f83efa22a46a40aa49c0aa559999,"This course aims at giving students an understanding of reasons, objectives and economic instruments for climate policy. Students first get acquainted with the natural science of the climate where anthropogenic greenhouse gas emissions constitute the source of man-made climate change. The latter is then explained from an economic perspective as a global environmental externality calling for environmental regulation to avoid substantial market failures. Game theoretic analysis of international negotiations and agreements provides key insights about the fundamental problems of free-riding and efficient climate policy design. Beyond theoretical propositions, 15 the lecture will critically discuss past and contemporary climate policies such as the Kyoto Protocol, the Paris Agreement, or the EU Emissions Trading System"
economics,wir893,Development Economics,6,,studip,SoSe,SoSe22;SoSe23;SoSe24;SoSe25;SoSe26,English,Jürgen Bitzer,Formal presentation with written elaboration and discussion,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/08e73c458b629fadcbe7cb69cf53dfdb,"The students are able: to identify an discuss empirical challenges in research on developing countries to understand, summarize, and discuss recent research studies in development economics evaluate strategies to reach sustainable economic development discussed in the public and politics participate in a discussion on the topic, developing a well-grounded position and problem solving strategy to present current research to and discuss it verbally and in written form to identify gaps in the literature on developing countries"
economics,wir895,Industrial Organization,6,yes,studip,WiSe,WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,English,Cristian Huse,Portfolio with up to three components.,,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/80e0dccfd1726f320442f7c58d694c4d,"Be able to conceptually understand, critically evaluate, and apply methods used economists to study the behaviour of firms, consumers, and their interaction."
economics,wir760,Computable General Equlibrium Analysis,6,,studip,WiSe,WiSe23/24,English,Christoph Boehringer,end of semester,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/cb7e387943024bfe7fbd6c8a9cb2ee0e,During the course work students will learn how to set up computable general equilibrium (CGE) models step-by-step using the GAMS software (General Algebraic Modeling System) and apply them to actual policy issues of broader interest.
empirical,wir875,Forecasting Methods,6,,studip,WiSe,WiSe21/22;WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,English,Ralf Werner Stecking,end of semester,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/541bf046f9b27027d6ed74796ea47de9,"With successful completion of the course, students shall: be aware of and be able to evaluate quantitative forecasting methods. be able to select adequate methods in relevant fields of application, like time series and classification analysis. be able to run computer-aided analyses and to interpret the results properly."
empirical,wir888,Applied Econometrics Using GIS Techniques,6,,studip,,WiSe21/22;SoSe22;SoSe23;SoSe24;SoSe26,"German, English",Erkan Gören,Am Ende der Vorlesungszeit,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/57bee42ca9c0c2690f606fac5e63bb17,"This course provides an introduction to some fundamental geo-processing operations using ArcGIS that are most relevant for economics research. The broad term GIS encompasses a set of tools (both software and hardware) to collect, store, visualize and analyze spatial data from the real world. GIS techniques allow economists to use data on geography and weather as sources of exogenous variation for estimating the causal impact of a wide range of treatments (e.g., infrastructure, mass media, slave trade, land suitability for agriculture, and terrain ruggedness). Satellite images from the earth's surface, which can be analyzed with geo-processing tools in GIS, allow economists to construct geo-spatial indicators (e.g., temporal changes in the intensity of night-time light and patterns of deforestation) that more closely reflect the local actors and underlying mechanisms of interest."
empirical,wir892,Computational Economics,6,,studip,SoSe,SoSe22;SoSe23;SoSe24;SoSe26,English,Christoph Boehringer,"Term paper: numerical simulation analysis on an economic policy issue, including explanatory text (problem, methodology, data, model formulation, simulation results/interpretation of results, conclusions)",56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/adb6a816f728fd33d8f4620c8b8b20d7,"Computer-based simulations play a key role for quantifying the economic impacts of policy reforms. Among numerical simulation methods, computable partial equilibrium (CPE) models are widely used in applied economic analysis. These models build on microeconomic theory for describing supply and demand behavior of economic agents on markets. Students will learn how to program such models and apply them to the impact assessment of trade, fiscal, or environmental policies."
empirical,wir894,Econometrics of Policy Evaluation,6,yes,studip,WiSe,WiSe21/22;WiSe22/23;WiSe23/24;WiSe24/25;WiSe25/26,English,Cristian Huse,Portfolio with up to three components.,,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/546fd89d63664bcc9e608d09c7e11e9d,Be able to conceptually understand and apply key empirical methods used by any economist (and other professionals) in the evaluation of policies. Be able to perform and critically evaluate an empirical analysis.
empirical,wir887,Advanced Econometrics,6,,studip,SoSe,SoSe22;SoSe24,English,Cristian Huse,Portfolio with up to three components.,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/e1654968fc7828e2bf3fb4f1da1c9317,"Be able to conceptually understand, critically evaluate, and apply methods used in the statistical analysis of data."
empirical,wir891,Complex Data Analysis,6,,studip,SoSe,SoSe23;SoSe24,English,Ralf Werner Stecking,Am Ende der Vorlesungszeit,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/633f73b19ab581e335d6dde95089489d,"With successful completion of the course, students shall be able to analyze complex empirical data sets, like aggregated data, privacy constrained data, distance information, distributions, tables, symbolic or granular data. Students will also learn to handle issues of big data challenges: large number of cases or variables, unknown dependencies, redundancy, missing values, small or no variance. In this course students will learn theoretical aspects of complex data analysis, as well as practical applications for real data sets with statistical software packages."
empirical,wir897,Spatial Econometrics,6,,studip,SoSe,SoSe25,English,Erkan Gören,Am Ende der Vorlesungszeit,56,https://elearning.uni-oldenburg.de/dispatch.php/shared/modul/description/1751701e49493ac5288c77dcfa2ad577,"This course provides an introduction to spatial econometrics modelling that are particularly appropriate to analyse real-world phenomenons of spatial dependence among geographically proximate units. With successful completion of the course, students shall be able to identify spatial diffusion processes across various empirical settings and to have a thorough understanding in the application, estimation, and interpretation of the relevant spatial regression models."
